Day 11: Post-it quote,"Choose a couple of quotes that make you feel alive and empowered. These quotes should really speak to you. You can choose from the quotes I’ve provided, or you can find your own. Once you’ve found your quotes, write them down and decorate them! Pull out the colored pencils and markers you’ve been hiding in your closet for just this occasion. Make them colorful and beautiful or elegant and simple—whatever you enjoy. Once you’ve finished, post these quotes in places you see on a daily basis (refrigerator, your desk, or the bathroom mirror, etc.). Since these words mean something to you and empower you, seeing them each day will make a huge difference. I did this in college and it made me feel so much better to read words of encouragement and positivity every single day."
Day 12: Planning positive change,"Start with what your change is, write that down—write everything down. Is this a long-term change or a short -term change (i.e. will it take you a lot of time and planning to complete, or only a little bit of time and planning)?"
Day 13: List 5 things that make you feel confident,"What makes you feel confident? Does dressing up or sitting up straight make you feel confident? Make a list of at least 5 things that make you feel confident! When you are feeling insecure, do one of the things on your list. It will help!"
Day 14: I am important because …,"Why are you important? You know the answer, even if you aren’t sure at first. Every soul on this earth and further is important. We all have a purpose."
Day 15: List 5 positive personal qualities,We did this on day one. This time we are listing at least 5 instead of 3 and these are not allowed to include qualities you have already listed! You can do this!
Day 16: Reframing negative self-talk,"Training yourself to turn negative self-talk into positive self-talk is huge! Today we are keeping a journal of our self-talk. Every time you notice yourself engaging in negative self-talk, track it with a 3-column table. In the first column, write about what happened before the negative self-talk.  That would be considered a trigger of the self-talk. In the second column, note your thoughts—what exactly did you say to yourself/what was the negative self-talk? Lastly, in the final column, reframe the negative self-talk to be positive self-talk. Some people experience negative self-talk more often or less often than others. Do not worry about how many of these self-talks you chart, just chart as many as you notice. When I completed this activity on my own, I filled several pages with these negative self-talk reframes, and I know I forgot some. But that’s okay. The goal of today’s activity is to become more aware of negative talks and to learn how to reframe seemingly unavoidable negativity into natural positivity. If you can, keep going with this activity beyond tomorrow. It is very beneficial when taken seriously!"
Day 17: List 5 things that make you feel free,"What makes you feel free—without restraints? Make a list of things that give you freedom and make you feel as though you are on top of the world. For me, I feel free when I practice independence. Once you’ve made your list, be sure to practice these activities more often! Freedom is, well, freeing!"
Day 18: Is it worth your worry?,"So often, we bog ourselves down with things that are outside of our control. We can’t do anything about it, so why must we ruin our day over something we cannot change? Something we can change is our mindset and how we react to that which we cannot change. Today, we are going to analyze our worries and concerns to figure out if they are within our control. We’ll also discover how to interact with the worries that are outside of our control using a 3-column table. The first column is for you to write down your worry in as little or as much detail as you’d like. In the second column, decide whether or not you have direct control over the outcome of this worry or situation. If it is within your realm of control, use the third column to decide on a method of coping or solving the situation that triggers your worry. If the worry is outside your control, use the third column to reframe your mindset. How could you positively react to the situation to avoid unnecessary stress? This is difficult but so powerful! Once we’ve realized how much of our worries are outside of our control, we can give ourselves freedom from these extra weights.
"
Day 19: Take a day off,"Today, step back from journaling and do something for yourself. Empowerment isn’t all about building yourself up, sometimes you also need to take a step back. We lead super busy lives, and we are stressed. Take a step back from your day-to-day life to take a bath, go for a walk, get a massage or mani-pedi, anything that you can enjoy outside your daily routine. Sometimes, taking a step out of the ordinary will remind you of all the great qualities you possess."
Day 20: Reflect,"It’s been about 10 days since we have reflected, so let’s do that now. Remember to stay positive! What were your initial worries this week? How did you overcome them? What surprised you this week? Is there something you did that you are glad you did? What is something you’d like to improve upon next week? Did something make you excited or happy this week?"
Day 21: I am proud to be me today because …,"Fill in the blank: Why are you proud to be yourself? In what ways are you happy with who you are? Can’t think of anything? Think harder, I know that you are proud of yourself for some reason. You are probably just focusing on things you don’t like about yourself. If you stop thinking about what is wrong and start thinking about what is right, you are guaranteed to feel better about yourself!"
Day 22: Greatest strengths,"Think about everything you excel at. This can include personal qualities, skills, or whatever else you’d like. When talking about strengths, people tend to stick to one category—either qualities or skills. I want you to broaden that mindset and include both categories to your list."
Day 23: Set goals,"When we set goals and set them well, our purpose is much more visible. For today’s activity, we are setting short-term personal goals. Before we start, keep in mind these rules: goals must be realistic, goals must be very specific, goals must use positive terminology (no negative terms allowed), and goals must provide a plan for completion. A goal that does not follow these rules is far more likely to be overwhelming and far less likely to be completed.First, you must identify what you want the end goal to be. For example: “My goal is to practice self-control when at work.” (I work at an ice cream trailer). See how I word my goal as if I am gaining something (self-control)? I avoid something negative like: “Stop eating ice cream,”  (I am losing something and using negative terms such as “stop”). Negative phrasing is a huge no-no if you want to complete your goal. Next, decide at least 2 steps to completing this goal. For me, these steps are to bring food from home to eat at each shift and to always have a bottle of water within reach. These steps are both realistic for my life (meaning that I am actually going to do them). Unrealistic steps are ones that you are not sure you will be able to accomplish or that are too ambitious. Save ambitious goals for long-term goal setting, as long-term goals require more time and steps to complete. The final step is to be intentional. Follow through with your goal. Goals are meant to be achieved, not just planned. Pick something you want to complete, something you are motivated to do. If you don’t care to complete your goal, then you won’t."
Day 24: I am free from …,"We all have burdens and hardships. No one lives without some kind of struggle. What are you free from? How did you break free? Journal about your courage and coping. Remind yourself that YOU ARE SO CAPABLE AND STRONG. It’s easy to forget, so let’s remind ourselves today."
Day 25: Practicing self-empowerment,"Now that you have been participating in empowered journaling activities for 25 days, I am sure you are starting to integrate these practices into your life outside of the challenge. Use today to give yourself credit for these independent activities. Write about a few times you have practiced empowerment without prompting from this challenge. Talk about how it made you feel, why you chose to do it, what kind of impacts you saw as a result, and whether you would do it again. Let’s have a chat with ourselves."
Day 26: Empowered change,"Have you been working toward that positive change we talked about? I hope so! Today, we are going to check in with ourselves about this change. What has been surprisingly difficult, and how have you overcome these difficulties? How have your abilities or confidence surprised you? What have you learned about yourself? What positive outcomes are you experiencing? Let’s focus on the positive and write about how we are feeling about the change. Don’t avoid the negative feelings. But do not dwell on them and try to find a way to overcome them, or a positive way to spin them."
Day 27: Empowering others,"For a large majority of this challenge, we focus on self-empowerment. But empowering ourselves cannot be fully achieved without the ability to empower others. Today, come up with 5 ways to empower those around you. This must be something you can do without spending money or giving physical gifts. Now that you have several ways to empower others, use them. Practice daily empowerment, both for yourself and for those around you. You never know who needs some encouragement."
Day 28: Breathe positivity,"Like Day 9, we are going to list words. Instead of listing negative words and canceling them out, fill a page in your journal with positive words to describe yourself and those around you. I want these to be descriptors and not just things you like. Some examples include kind, loyal, pretty, welcoming."
Day 29: I am powerful because …,"What gives you power? What do you have power over? YOURSELF! You have power over you, and only you. You cannot control those around you; you can only control you. Where is your power sourced?"
Day 30: Celebrate empowerment!,"Yay! It’s day 30, the final day of this challenge! Just because you’ve completed the challenge doesn’t mean you quite empowering yourself, though! Continue empowering yourself every day. Take your favorite activities and practices from this challenge, write them down in your journal and make a weekly empowerment plan. Do a weekly reflection, make a change every few months, keep a list of positive words and add to it regularly. For today, pick your favorite activity and do it again. Do whatever worked most for you (because we are all so unique and beautifully different)."
